country,continent,year,gdp_pc,life_exp,pop,lgdp_pc
Afghanistan ,Asia ,1952,779.45,28.8,8425333,6.6585884
Afghanistan ,Asia ,1957,820.85,30.33,9240934,6.7103405
Afghanistan ,Asia ,1962,853.1,32,10267083,6.7488766
Afghanistan ,Asia ,1967,836.2,34.02,11537966,6.728868
Afghanistan ,Asia ,1972,739.98,36.09,13079460,6.6066232
Afghanistan ,Asia ,1977,786.11,38.44,14880372,6.6670966
Afghanistan ,Asia ,1982,978.01,39.85,12881816,6.88552
Afghanistan ,Asia ,1987,852.4,40.82,13867957,6.7480559
Afghanistan ,Asia ,1992,649.34,41.67,16317921,6.4759564
Afghanistan ,Asia ,1997,635.34,41.76,22227415,6.4541602
Afghanistan ,Asia ,2002,726.73,42.13,25268405,6.5885549
Afghanistan ,Asia ,2007,974.58,43.83,31889923,6.8820066
Albania ,Europe ,1952,1601.06,55.23,1282697,7.3784213
Albania ,Europe ,1957,1942.28,59.28,1476505,7.5716176
Albania ,Europe ,1962,2312.89,64.82,1728137,7.746253
Albania ,Europe ,1967,2760.2,66.22,1984060,7.9230585
Albania ,Europe ,1972,3313.42,67.69,2263554,8.1057358
Albania ,Europe ,1977,3533,68.93,2509048,8.1699028
Albania ,Europe ,1982,3630.88,70.42,2780097,8.1972303
Albania ,Europe ,1987,3738.93,72,3075321,8.2265549
Albania ,Europe ,1992,2497.44,71.58,3326498,7.8230214
Albania ,Europe ,1997,3193.05,72.95,3428038,8.0687323
Albania ,Europe ,2002,4604.21,75.65,3508512,8.4347267
Albania ,Europe ,2007,5937.03,76.42,3600523,8.6889639
Algeria ,Africa ,1952,2449.01,43.08,9279525,7.8034391
Algeria ,Africa ,1957,3013.98,45.69,10270856,8.0110168
Algeria ,Africa ,1962,2550.82,48.3,11000948,7.8441701
Algeria ,Africa ,1967,3246.99,51.41,12760499,8.0854836
Algeria ,Africa ,1972,4182.66,54.52,14760787,8.3387032
Algeria ,Africa ,1977,4910.42,58.01,17152804,8.499115
Algeria ,Africa ,1982,5745.16,61.37,20033753,8.6561127
Algeria ,Africa ,1987,5681.36,65.8,23254956,8.6449461
Algeria ,Africa ,1992,5023.22,67.74,26298373,8.5218267
Algeria ,Africa ,1997,4797.3,69.15,29072015,8.4758081
Algeria ,Africa ,2002,5288.04,70.99,31287142,8.5732031
Algeria ,Africa ,2007,6223.37,72.3,33333216,8.7360668
Angola ,Africa ,1952,3520.61,30.02,4232095,8.1663895
Angola ,Africa ,1957,3827.94,32,4561361,8.250082
Angola ,Africa ,1962,4269.28,34,4826015,8.3592005
Angola ,Africa ,1967,5522.78,35.99,5247469,8.6166363
Angola ,Africa ,1972,5473.29,37.93,5894858,8.6076355
Angola ,Africa ,1977,3008.65,39.48,6162675,8.0092468
Angola ,Africa ,1982,2756.95,39.94,7016384,7.9218802
Angola ,Africa ,1987,2430.21,39.91,7874230,7.795733
Angola ,Africa ,1992,2627.85,40.65,8735988,7.8739214
Angola ,Africa ,1997,2277.14,40.96,9875024,7.7306757
Angola ,Africa ,2002,2773.29,41,10866106,7.9277897
Angola ,Africa ,2007,4797.23,42.73,12420476,8.4757938
Argentina ,Americas ,1952,5911.32,62.49,17876956,8.6846247
Argentina ,Americas ,1957,6856.86,64.4,19610538,8.833005
Argentina ,Americas ,1962,7133.17,65.14,21283783,8.8725109
Argentina ,Americas ,1967,8052.95,65.63,22934225,8.9937935
Argentina ,Americas ,1972,9443.04,67.07,24779799,9.1530333
Argentina ,Americas ,1977,10079.03,68.48,26983828,9.2182121
Argentina ,Americas ,1982,8997.9,69.94,29341374,9.1047468
Argentina ,Americas ,1987,9139.67,70.77,31620918,9.1203794
Argentina ,Americas ,1992,9308.42,71.87,33958947,9.1386747
Argentina ,Americas ,1997,10967.28,73.28,36203463,9.3026714
Argentina ,Americas ,2002,8797.64,74.34,38331121,9.0822392
Argentina ,Americas ,2007,12779.38,75.32,40301927,9.4555883
Australia ,Oceania ,1952,10039.6,69.12,8691212,9.2142925
Australia ,Oceania ,1957,10949.65,70.33,9712569,9.3010626
Australia ,Oceania ,1962,12217.23,70.93,10794968,9.4106026
Australia ,Oceania ,1967,14526.12,71.1,11872264,9.583704
Australia ,Oceania ,1972,16788.63,71.93,13177000,9.7284575
Australia ,Oceania ,1977,18334.2,73.49,14074100,9.8165236
Australia ,Oceania ,1982,19477.01,74.74,15184200,9.8769903
Australia ,Oceania ,1987,21888.89,76.32,16257249,9.9937344
Australia ,Oceania ,1992,23424.77,77.56,17481977,10.061549
Australia ,Oceania ,1997,26997.94,78.83,18565243,10.203516
Australia ,Oceania ,2002,30687.75,80.37,19546792,10.331619
Australia ,Oceania ,2007,34435.37,81.24,20434176,10.446839
Austria ,Europe ,1952,6137.08,66.8,6927772,8.7221041
Austria ,Europe ,1957,8842.6,67.48,6965860,9.0873365
Austria ,Europe ,1962,10750.72,69.54,7129864,9.2827282
Austria ,Europe ,1967,12834.6,70.14,7376998,9.4598999
Austria ,Europe ,1972,16661.63,70.63,7544201,9.7208633
Austria ,Europe ,1977,19749.42,72.17,7568430,9.8908796
Austria ,Europe ,1982,21597.08,73.18,7574613,9.9803133
Austria ,Europe ,1987,23687.83,74.94,7578903,10.072717
Austria ,Europe ,1992,27042.02,76.04,7914969,10.205147
Austria ,Europe ,1997,29095.92,77.51,8069876,10.278354
Austria ,Europe ,2002,32417.61,78.98,8148312,10.386457
Austria ,Europe ,2007,36126.49,79.83,8199783,10.494781
Bahrain ,Asia ,1952,9867.08,50.94,120447,9.1969595
Bahrain ,Asia ,1957,11635.8,53.83,138655,9.3618422
Bahrain ,Asia ,1962,12753.28,56.92,171863,9.4535437
Bahrain ,Asia ,1967,14804.67,59.92,202182,9.6026983
Bahrain ,Asia ,1972,18268.66,63.3,230800,9.8129425
Bahrain ,Asia ,1977,19340.1,65.59,297410,9.869936
Bahrain ,Asia ,1982,19211.15,69.05,377967,9.863246
Bahrain ,Asia ,1987,18524.02,70.75,454612,9.8268232
Bahrain ,Asia ,1992,19035.58,72.6,529491,9.8540649
Bahrain ,Asia ,1997,20292.02,73.93,598561,9.9179831
Bahrain ,Asia ,2002,23403.56,74.8,656397,10.060643
Bahrain ,Asia ,2007,29796.05,75.64,708573,10.302131
Bangladesh ,Asia ,1952,684.24,37.48,46886859,6.5283089
Bangladesh ,Asia ,1957,661.64,39.35,51365468,6.4947214
Bangladesh ,Asia ,1962,686.34,41.22,56839289,6.531373
Bangladesh ,Asia ,1967,721.19,43.45,62821884,6.5809026
Bangladesh ,Asia ,1972,630.23,45.25,70759295,6.446085
Bangladesh ,Asia ,1977,659.88,46.92,80428306,6.4920578
Bangladesh ,Asia ,1982,676.98,50.01,93074406,6.5176415
Bangladesh ,Asia ,1987,751.98,52.82,103764241,6.6227098
Bangladesh ,Asia ,1992,837.81,56.02,113704579,6.7307916
Bangladesh ,Asia ,1997,972.77,59.41,123315288,6.8801475
Bangladesh ,Asia ,2002,1136.39,62.01,135656790,7.0356116
Bangladesh ,Asia ,2007,1391.25,64.06,150448339,7.237958
Belgium ,Europe ,1952,8343.11,68,8730405,9.029191
Belgium ,Europe ,1957,9714.96,69.24,8989111,9.1814222
Belgium ,Europe ,1962,10991.21,70.25,9218400,9.3048515
Belgium ,Europe ,1967,13149.04,70.94,9556500,9.4841042
Belgium ,Europe ,1972,16672.14,71.44,9709100,9.7214947
Belgium ,Europe ,1977,19117.97,72.8,9821800,9.8583841
Belgium ,Europe ,1982,20979.85,73.93,9856303,9.9513178
Belgium ,Europe ,1987,22525.56,75.35,9870200,10.022406
Belgium ,Europe ,1992,25575.57,76.46,10045622,10.149393
Belgium ,Europe ,1997,27561.2,77.53,10199787,10.224164
Belgium ,Europe ,2002,30485.88,78.32,10311970,10.325019
Belgium ,Europe ,2007,33692.61,79.44,10392226,10.425034
Benin ,Africa ,1952,1062.75,38.22,1738315,6.9686151
Benin ,Africa ,1957,959.6,40.36,1925173,6.8665166
Benin ,Africa ,1962,949.5,42.62,2151895,6.8559356
Benin ,Africa ,1967,1035.83,44.89,2427334,6.9429584
Benin ,Africa ,1972,1085.8,47.01,2761407,6.9900723
Benin ,Africa ,1977,1029.16,49.19,3168267,6.9364982
Benin ,Africa ,1982,1277.9,50.9,3641603,7.1529732
Benin ,Africa ,1987,1225.86,52.34,4243788,7.1113977
Benin ,Africa ,1992,1191.21,53.92,4981671,7.082725
Benin ,Africa ,1997,1232.98,54.78,6066080,7.1171894
Benin ,Africa ,2002,1372.88,54.41,7026113,7.2246661
Benin ,Africa ,2007,1441.28,56.73,8078314,7.2732868
Bolivia ,Americas ,1952,2677.33,40.41,2883315,7.8925753
Bolivia ,Americas ,1957,2127.69,41.89,3211738,7.6627922
Bolivia ,Americas ,1962,2180.97,43.43,3593918,7.6875248
Bolivia ,Americas ,1967,2586.89,45.03,4040665,7.8582115
Bolivia ,Americas ,1972,2980.33,46.71,4565872,7.9997892
Bolivia ,Americas ,1977,3548.1,50.02,5079716,8.1741676
Bolivia ,Americas ,1982,3156.51,53.86,5642224,8.0572224
Bolivia ,Americas ,1987,2753.69,57.25,6156369,7.9206972
Bolivia ,Americas ,1992,2961.7,59.96,6893451,7.9935188
Bolivia ,Americas ,1997,3326.14,62.05,7693188,8.1095676
Bolivia ,Americas ,2002,3413.26,63.88,8445134,8.1354227
Bolivia ,Americas ,2007,3822.14,65.55,9119152,8.2485657
Bosnia and Herzegovina ,Europe ,1952,973.53,53.82,2791000,6.8809285
Bosnia and Herzegovina ,Europe ,1957,1353.99,58.45,3076000,7.2108111
Bosnia and Herzegovina ,Europe ,1962,1709.68,61.93,3349000,7.4440613
Bosnia and Herzegovina ,Europe ,1967,2172.35,64.79,3585000,7.6835647
Bosnia and Herzegovina ,Europe ,1972,2860.17,67.45,3819000,7.9586363
Bosnia and Herzegovina ,Europe ,1977,3528.48,69.86,4086000,8.168622
Bosnia and Herzegovina ,Europe ,1982,4126.61,70.69,4172693,8.3252115
Bosnia and Herzegovina ,Europe ,1987,4314.11,71.14,4338977,8.3696461
Bosnia and Herzegovina ,Europe ,1992,2546.78,72.18,4256013,7.8425851
Bosnia and Herzegovina ,Europe ,1997,4766.36,73.24,3607000,8.4693384
Bosnia and Herzegovina ,Europe ,2002,6018.98,74.09,4165416,8.702673
Bosnia and Herzegovina ,Europe ,2007,7446.3,74.85,4552198,8.915473
Botswana ,Africa ,1952,851.24,47.62,442308,6.7466941
Botswana ,Africa ,1957,918.23,49.62,474639,6.8224478
Botswana ,Africa ,1962,983.65,51.52,512764,6.8912702
Botswana ,Africa ,1967,1214.71,53.3,553541,7.1022606
Botswana ,Africa ,1972,2263.61,56.02,619351,7.7247162
Botswana ,Africa ,1977,3214.86,59.32,781472,8.0755386
Botswana ,Africa ,1982,4551.14,61.48,970347,8.4231329
Botswana ,Africa ,1987,6205.88,63.62,1151184,8.7332525
Botswana ,Africa ,1992,7954.11,62.75,1342614,8.9814444
Botswana ,Africa ,1997,8647.14,52.56,1536536,9.0649843
Botswana ,Africa ,2002,11003.61,46.63,1630347,9.3059788
Botswana ,Africa ,2007,12569.85,50.73,1639131,9.4390564
Brazil ,Americas ,1952,2108.94,50.92,56602560,7.6539407
Brazil ,Americas ,1957,2487.37,53.29,65551171,7.8189812
Brazil ,Americas ,1962,3336.59,55.67,76039390,8.1127043
Brazil ,Americas ,1967,3429.86,57.63,88049823,8.140275
Brazil ,Americas ,1972,4985.71,59.5,100840058,8.5143309
Brazil ,Americas ,1977,6660.12,61.49,114313951,8.8038931
Brazil ,Americas ,1982,7030.84,63.34,128962939,8.8580618
Brazil ,Americas ,1987,7807.1,65.21,142938076,8.9627886
Brazil ,Americas ,1992,6950.28,67.06,155975974,8.8465376
Brazil ,Americas ,1997,7957.98,69.39,168546719,8.9819307
Brazil ,Americas ,2002,8131.21,71.01,179914212,9.0034647
Brazil ,Americas ,2007,9065.8,72.39,190010647,9.1122646
Bulgaria ,Europe ,1952,2444.29,59.6,7274900,7.8015099
Bulgaria ,Europe ,1957,3008.67,66.61,7651254,8.0092535
Bulgaria ,Europe ,1962,4254.34,69.51,8012946,8.3556948
Bulgaria ,Europe ,1967,5577,70.42,8310226,8.6264067
Bulgaria ,Europe ,1972,6597.49,70.9,8576200,8.7944441
Bulgaria ,Europe ,1977,7612.24,70.81,8797022,8.9375124
Bulgaria ,Europe ,1982,8224.19,71.08,8892098,9.0148354
Bulgaria ,Europe ,1987,8239.85,71.34,8971958,9.016737
Bulgaria ,Europe ,1992,6302.62,71.19,8658506,8.7487211
Bulgaria ,Europe ,1997,5970.39,70.32,8066057,8.6945677
Bulgaria ,Europe ,2002,7696.78,72.14,7661799,8.9485569
Bulgaria ,Europe ,2007,10680.79,73.01,7322858,9.2762022
Burkina Faso ,Africa ,1952,543.26,31.98,4469979,6.2975879
Burkina Faso ,Africa ,1957,617.18,34.91,4713416,6.4251609
Burkina Faso ,Africa ,1962,722.51,37.81,4919632,6.5827312
Burkina Faso ,Africa ,1967,794.83,40.7,5127935,6.6781282
Burkina Faso ,Africa ,1972,854.74,43.59,5433886,6.7507973
Burkina Faso ,Africa ,1977,743.39,46.14,5889574,6.6112208
Burkina Faso ,Africa ,1982,807.2,48.12,6634596,6.6935716
Burkina Faso ,Africa ,1987,912.06,49.56,7586551,6.8157058
Burkina Faso ,Africa ,1992,931.75,50.26,8878303,6.8370647
Burkina Faso ,Africa ,1997,946.29,50.32,10352843,6.8525491
Burkina Faso ,Africa ,2002,1037.65,50.65,12251209,6.9447136
Burkina Faso ,Africa ,2007,1217.03,52.3,14326203,7.1041689
Burundi ,Africa ,1952,339.3,39.03,2445618,5.8268847
Burundi ,Africa ,1957,379.56,40.53,2667518,5.9390125
Burundi ,Africa ,1962,355.2,42.05,2961915,5.8726811
Burundi ,Africa ,1967,412.98,43.55,3330989,6.0233994
Burundi ,Africa ,1972,464.1,44.06,3529983,6.1401
Burundi ,Africa ,1977,556.1,45.91,3834415,6.3209481
Burundi ,Africa ,1982,559.6,47.47,4580410,6.3272223
Burundi ,Africa ,1987,621.82,48.21,5126023,6.4326506
Burundi ,Africa ,1992,631.7,44.74,5809236,6.4484148
Burundi ,Africa ,1997,463.12,45.33,6121610,6.1379862
Burundi ,Africa ,2002,446.4,47.36,7021078,6.1012154
Burundi ,Africa ,2007,430.07,49.58,8390505,6.0639482
Cambodia ,Asia ,1952,368.47,39.42,4693836,5.9093595
Cambodia ,Asia ,1957,434.04,41.37,5322536,6.0731368
Cambodia ,Asia ,1962,496.91,43.42,6083619,6.2084088
Cambodia ,Asia ,1967,523.43,45.42,6960067,6.2604032
Cambodia ,Asia ,1972,421.62,40.32,7450606,6.0441046
Cambodia ,Asia ,1977,524.97,31.22,6978607,6.263341
Cambodia ,Asia ,1982,624.48,50.96,7272485,6.4369192
Cambodia ,Asia ,1987,683.9,53.91,8371791,6.5278115
Cambodia ,Asia ,1992,682.3,55.8,10150094,6.5254693
Cambodia ,Asia ,1997,734.29,56.53,11782962,6.5989041
Cambodia ,Asia ,2002,896.23,56.75,12926707,6.7981973
Cambodia ,Asia ,2007,1713.78,59.72,14131858,7.4464569
Cameroon ,Africa ,1952,1172.67,38.52,5009067,7.0670385
Cameroon ,Africa ,1957,1313.05,40.43,5359923,7.1801081
Cameroon ,Africa ,1962,1399.61,42.64,5793633,7.2439489
Cameroon ,Africa ,1967,1508.45,44.8,6335506,7.3188381
Cameroon ,Africa ,1972,1684.15,47.05,7021028,7.4290161
Cameroon ,Africa ,1977,1783.43,49.36,7959865,7.4862938
Cameroon ,Africa ,1982,2367.98,52.96,9250831,7.7697926
Cameroon ,Africa ,1987,2602.66,54.99,10780667,7.8642893
Cameroon ,Africa ,1992,1793.16,54.31,12467171,7.4917345
Cameroon ,Africa ,1997,1694.34,52.2,14195809,7.4350486
Cameroon ,Africa ,2002,1934.01,49.86,15929988,7.5673509
Cameroon ,Africa ,2007,2042.1,50.43,17696293,7.6217341
Canada ,Americas ,1952,11367.16,68.75,14785584,9.3384838
Canada ,Americas ,1957,12489.95,69.96,17010154,9.4326792
Canada ,Americas ,1962,13462.49,71.3,18985849,9.5076628
Canada ,Americas ,1967,16076.59,72.13,20819767,9.6851196
Canada ,Americas ,1972,18970.57,72.88,22284500,9.8506441
Canada ,Americas ,1977,22090.88,74.21,23796400,10.00292
Canada ,Americas ,1982,22898.79,75.76,25201900,10.038839
Canada ,Americas ,1987,26626.52,76.86,26549700,10.189663
Canada ,Americas ,1992,26342.88,77.95,28523502,10.178953
Canada ,Americas ,1997,28954.93,78.61,30305843,10.273496
Canada ,Americas ,2002,33328.97,79.77,31902268,10.414183
Canada ,Americas ,2007,36319.24,80.65,33390141,10.500103
Central African Republic ,Africa ,1952,1071.31,35.46,1291695,6.9766374
Central African Republic ,Africa ,1957,1190.84,37.46,1392284,7.0824142
Central African Republic ,Africa ,1962,1193.07,39.48,1523478,7.0842853
Central African Republic ,Africa ,1967,1136.06,41.48,1733638,7.0353212
Central African Republic ,Africa ,1972,1070.01,43.46,1927260,6.9754233
Central African Republic ,Africa ,1977,1109.37,46.78,2167533,7.0115476
Central African Republic ,Africa ,1982,956.75,48.3,2476971,6.8635421
Central African Republic ,Africa ,1987,844.88,50.49,2840009,6.7391944
Central African Republic ,Africa ,1992,747.91,49.4,3265124,6.6172829
Central African Republic ,Africa ,1997,740.51,46.07,3696513,6.6073389
Central African Republic ,Africa ,2002,738.69,43.31,4048013,6.6048784
Central African Republic ,Africa ,2007,706.02,44.74,4369038,6.5596437
Chad ,Africa ,1952,1178.67,38.09,2682462,7.0721421
Chad ,Africa ,1957,1308.5,39.88,2894855,7.1766367
Chad ,Africa ,1962,1389.82,41.72,3150417,7.2369294
Chad ,Africa ,1967,1196.81,43.6,3495967,7.0874147
Chad ,Africa ,1972,1104.1,45.57,3899068,7.0067859
Chad ,Africa ,1977,1133.98,47.38,4388260,7.0334888
Chad ,Africa ,1982,797.91,49.52,4875118,6.6819959
Chad ,Africa ,1987,952.39,51.05,5498955,6.8589745
Chad ,Africa ,1992,1058.06,51.72,6429417,6.9641924
Chad ,Africa ,1997,1004.96,51.57,7562011,6.912703
Chad ,Africa ,2002,1156.18,50.53,8835739,7.0528769
Chad ,Africa ,2007,1704.06,50.65,10238807,7.4407687
Chile ,Americas ,1952,3939.98,54.75,6377619,8.2789307
Chile ,Americas ,1957,4315.62,56.07,7048426,8.3699961
Chile ,Americas ,1962,4519.09,57.92,7961258,8.4160662
Chile ,Americas ,1967,5106.65,60.52,8858908,8.5382986
Chile ,Americas ,1972,5494.02,63.44,9717524,8.6114159
Chile ,Americas ,1977,4756.76,67.05,10599793,8.4673223
Chile ,Americas ,1982,5095.67,70.57,11487112,8.5361462
Chile ,Americas ,1987,5547.06,72.49,12463354,8.6210232
Chile ,Americas ,1992,7596.13,74.13,13572994,8.9353943
Chile ,Americas ,1997,10118.05,75.82,14599929,9.2220764
Chile ,Americas ,2002,10778.78,77.86,15497046,9.2853346
Chile ,Americas ,2007,13171.64,78.55,16284741,9.4858217
China ,Asia ,1952,400.45,44,556263527,5.992589
China ,Asia ,1957,575.99,50.55,637408000,6.3560901
China ,Asia ,1962,487.67,44.5,665770000,6.1896391
China ,Asia ,1967,612.71,58.38,754550000,6.417892
China ,Asia ,1972,676.9,63.12,862030000,6.5175238
China ,Asia ,1977,741.24,63.97,943455000,6.6083245
China ,Asia ,1982,962.42,65.53,1000281000,6.869451
China ,Asia ,1987,1378.9,67.27,1084035000,7.2290416
China ,Asia ,1992,1655.78,68.69,1164970000,7.4120274
China ,Asia ,1997,2289.23,70.43,1230075000,7.735971
China ,Asia ,2002,3119.28,72.03,1280400000,8.0453577
China ,Asia ,2007,4959.11,72.96,1318683096,8.5089817
Colombia ,Americas ,1952,2144.12,50.64,12350771,7.6704845
Colombia ,Americas ,1957,2323.81,55.12,14485993,7.7509632
Colombia ,Americas ,1962,2492.35,57.86,17009885,7.8209815
Colombia ,Americas ,1967,2678.73,59.96,19764027,7.8930979
Colombia ,Americas ,1972,3264.66,61.62,22542890,8.0909109
Colombia ,Americas ,1977,3815.81,63.84,25094412,8.2469082
Colombia ,Americas ,1982,4397.58,66.65,27764644,8.3888092
Colombia ,Americas ,1987,4903.22,67.77,30964245,8.4976473
Colombia ,Americas ,1992,5444.65,68.42,34202721,8.6023884
Colombia ,Americas ,1997,6117.36,70.31,37657830,8.7188864
Colombia ,Americas ,2002,5755.26,71.68,41008227,8.6578693
Colombia ,Americas ,2007,7006.58,72.89,44227550,8.8546047
Comoros ,Africa ,1952,1102.99,40.72,153936,7.0057797
Comoros ,Africa ,1957,1211.15,42.46,170928,7.0993257
Comoros ,Africa ,1962,1406.65,44.47,191689,7.2489662
Comoros ,Africa ,1967,1876.03,46.47,217378,7.5369129
Comoros ,Africa ,1972,1937.58,48.94,250027,7.5691953
Comoros ,Africa ,1977,1172.6,50.94,304739,7.0669789
Comoros ,Africa ,1982,1267.1,52.93,348643,7.144486
Comoros ,Africa ,1987,1315.98,54.93,395114,7.1823368
Comoros ,Africa ,1992,1246.91,57.94,454429,7.1284237
Comoros ,Africa ,1997,1173.62,60.66,527982,7.0678482
Comoros ,Africa ,2002,1075.81,62.97,614382,6.9808292
Comoros ,Africa ,2007,986.15,65.15,710960,6.8938084
"Congo, Dem. Rep. ",Africa ,1952,780.54,39.14,14100005,6.659986
"Congo, Dem. Rep. ",Africa ,1957,905.86,40.65,15577932,6.8088846
"Congo, Dem. Rep. ",Africa ,1962,896.31,42.12,17486434,6.7982864
"Congo, Dem. Rep. ",Africa ,1967,861.59,44.06,19941073,6.7587795
"Congo, Dem. Rep. ",Africa ,1972,904.9,45.99,23007669,6.8078246
"Congo, Dem. Rep. ",Africa ,1977,795.76,47.8,26480870,6.6792974
"Congo, Dem. Rep. ",Africa ,1982,673.75,47.78,30646495,6.5128593
"Congo, Dem. Rep. ",Africa ,1987,672.77,47.41,35481645,6.5114036
"Congo, Dem. Rep. ",Africa ,1992,457.72,45.55,41672143,6.1262574
"Congo, Dem. Rep. ",Africa ,1997,312.19,42.59,47798986,5.7436118
"Congo, Dem. Rep. ",Africa ,2002,241.17,44.97,55379852,5.4855022
"Congo, Dem. Rep. ",Africa ,2007,277.55,46.46,64606759,5.6260009
